Sektör,reklam suresi SN,reklam maliyeti TL,ORTALAMA REYTING (TOPLAM İZLENME ORANI) %,ORTALAMA SHARE (İZLENME PAYI) % :,ORTALAMA AB grubu İzlenme %,prime time yayın oranı %,Diğer yayın zamanı oranı,Haftasonu REYTING (TOPLAM İZLENME ORANI) %,Satışa Etkisi
OTOMOTİVE,42.4,6681.47,0.56,0.70,0.41,0.22,0.78,0.61,GÜÇLÜ
MOBİLYA,38.2,64769.72,0.70,0.57,0.27,0.29,0.71,0.63,GÜÇLÜ
BEYAZ EŞYA,68.4,14168.41,0.12,0.68,0.42,0.06,0.94,0.73,GÜÇLÜ
GİYİM,15.4,58669.94,0.34,0.81,0.39,0.13,0.87,0.62,GÜÇLÜ
MOBİLYA,1.7,33191.53,0.01,0.52,0.25,0.26,0.74,0.74,GÜÇLÜ
GIDA,18.7,72024.1,0.25,0.64,0.48,0.23,0.77,0.57,GÜÇLÜ
GİYİM,59.7,52682.06,0.14,0.67,0.20,0.37,0.63,0.57,GÜÇLÜ
OTOMOTİVE,23.2,5082.81,0.57,0.57,0.12,0.20,0.80,0.54,GÜÇLÜ
OTOMOTİVE,50.5,28767.39,0.97,0.48,0.31,0.22,0.78,0.51,GÜÇLÜ
BEYAZ EŞYA,88.8,41404.01,0.79,0.67,0.30,0.27,0.73,0.62,GÜÇLÜ
GİYİM,83.2,37230.58,0.54,0.71,0.47,0.06,0.94,0.56,GÜÇLÜ
GİYİM,50.1,4239.34,0.44,0.52,0.34,0.09,0.91,0.46,GÜÇLÜ
GİYİM,8.5,34935.46,0.79,0.72,0.36,0.16,0.84,0.46,GÜÇLÜ
OTOMOTİVE,46.1,5303.43,0.04,0.56,0.24,0.12,0.88,0.64,GÜÇLÜ
MOBİLYA,65.2,12164.77,0.72,0.92,0.24,0.07,0.93,0.44,GÜÇLÜ
GİYİM,35.9,72039.37,0.76,0.60,0.40,0.30,0.70,0.61,GÜÇLÜ
BEYAZ EŞYA,46,71356.27,0.14,0.74,0.32,0.33,0.67,0.35,GÜÇLÜ
BEYAZ EŞYA,98.1,67103.15,0.50,0.55,0.36,0.36,0.64,0.52,GÜÇLÜ
MOBİLYA,31.6,33363.78,0.79,0.79,0.31,0.17,0.83,0.56,GÜÇLÜ
GIDA,86.7,2222.69,0.40,0.90,0.34,0.23,0.77,0.46,GÜÇLÜ
GİYİM,27.1,42355.89,0.28,0.66,0.36,0.10,0.90,0.14,GÜÇLÜ
OTOMOTİVE,90.5,1211.43,0.91,0.73,0.33,0.09,0.91,0.47,GÜÇLÜ
GIDA,0.9,50927.71,0.28,0.62,0.37,0.20,0.80,0.58,GÜÇLÜ
DİĞER,87.9,53617.2,0.17,0.74,0.32,0.27,0.73,0.38,GÜÇLÜ
GIDA,61.8,61573.35,0.45,0.49,0.29,0.15,0.85,0.57,GÜÇLÜ
OTOMOTİVE,35.2,50837.51,0.64,0.61,0.26,0.08,0.92,0.70,GÜÇLÜ
MOBİLYA,55.3,28079.21,0.15,0.74,0.40,0.09,0.91,0.56,GÜÇLÜ
BEYAZ EŞYA,38.4,16530.46,0.68,0.86,0.50,0.25,0.75,0.53,GÜÇLÜ
MOBİLYA,72.7,3548.04,0.41,0.82,0.23,0.16,0.84,0.31,GÜÇLÜ
MOBİLYA,76.5,24126.29,0.87,0.68,0.49,0.05,0.95,0.32,GÜÇLÜ
GİYİM,96.5,70236.63,0.94,0.65,0.19,0.22,0.78,0.49,GÜÇLÜ
GIDA,33,52437.21,0.50,0.72,0.21,0.32,0.68,0.54,GÜÇLÜ
OTOMOTİVE,41.5,38287.07,0.84,0.61,0.42,0.10,0.90,0.62,GÜÇLÜ
BEYAZ EŞYA,26.3,72204.18,0.42,0.66,0.17,0.24,0.76,0.71,GÜÇLÜ
OTOMOTİVE,90,55957.57,0.72,0.76,0.18,0.12,0.88,0.54,GÜÇLÜ
MOBİLYA,87.1,3897.66,0.40,0.58,0.34,0.10,0.90,0.60,GÜÇLÜ
MOBİLYA,16.3,57076.55,0.97,0.71,0.37,0.21,0.79,0.53,GÜÇLÜ
OTOMOTİVE,58.4,2150.53,0.20,0.64,0.23,0.34,0.66,0.58,GÜÇLÜ
DİĞER,68.9,22464.22,0.15,0.59,0.28,0.24,0.76,0.54,GÜÇLÜ
OTOMOTİVE,80.6,40534.87,0.71,0.74,0.36,0.17,0.83,0.52,GÜÇLÜ
MOBİLYA,23.2,39689.16,0.57,0.71,0.40,0.09,0.91,0.51,GÜÇLÜ
OTOMOTİVE,56.6,24746.77,0.72,0.56,0.37,0.15,0.85,0.64,GÜÇLÜ
BEYAZ EŞYA,25.4,2435.41,0.94,0.62,0.48,0.01,0.99,0.70,GÜÇLÜ
GIDA,35.9,14047.17,0.41,0.62,0.24,0.08,0.92,0.61,GÜÇLÜ
GIDA,90.5,56077.31,0.36,0.61,0.12,0.12,0.88,0.60,GÜÇLÜ
GIDA,7.2,61288.04,0.04,0.59,0.49,0.16,0.84,0.66,GÜÇLÜ
MOBİLYA,81.4,45291.22,0.90,0.54,0.39,0.14,0.86,0.53,GÜÇLÜ
BEYAZ EŞYA,22.9,44666.08,0.33,0.71,0.36,0.14,0.86,0.60,GÜÇLÜ
MOBİLYA,16.4,28030.41,0.37,0.68,0.26,0.11,0.89,0.62,GÜÇLÜ
GIDA,40.2,58530.05,0.91,0.53,0.36,0.06,0.94,0.60,GÜÇLÜ
MOBİLYA,98.7,28375.54,0.89,0.68,0.32,0.11,0.89,0.60,GÜÇLÜ
OTOMOTİVE,37.9,10218.43,0.04,0.53,0.39,0.19,0.81,0.39,GÜÇLÜ
GİYİM,93.5,23741.12,0.85,0.65,0.22,0.14,0.86,0.61,GÜÇLÜ
OTOMOTİVE,91,10680.06,0.20,0.83,0.39,0.16,0.84,0.70,GÜÇLÜ
MOBİLYA,97.7,27288.64,0.73,0.61,0.33,0.30,0.70,0.45,GÜÇLÜ
OTOMOTİVE,51.9,62368.56,0.43,0.66,0.32,0.06,0.94,0.51,GÜÇLÜ
MOBİLYA,7.1,27802.91,0.57,0.60,0.36,0.41,0.59,0.70,GÜÇLÜ
GIDA,25,27203.02,0.02,0.56,0.31,0.24,0.76,0.54,GÜÇLÜ
GİYİM,63.5,59721.53,0.38,0.54,0.28,0.20,0.80,0.52,GÜÇLÜ
GİYİM,33.4,18967.16,0.61,0.61,0.22,0.19,0.81,0.51,GÜÇLÜ
DİĞER,6.2,20604.68,0.99,0.56,0.13,0.17,0.83,0.63,GÜÇLÜ
OTOMOTİVE,49.5,31747.39,0.05,0.73,0.16,0.08,0.92,0.40,GÜÇLÜ
MOBİLYA,14.4,70450.94,0.37,0.75,0.31,0.14,0.86,0.67,GÜÇLÜ
DİĞER,26.5,14650.2,0.65,0.65,0.42,0.22,0.78,0.63,GÜÇLÜ
DİĞER,22.6,58743.78,0.12,0.69,0.38,0.13,0.87,0.59,GÜÇLÜ
GIDA,18.2,72152.31,0.68,0.58,0.19,0.17,0.83,0.62,GÜÇLÜ
OTOMOTİVE,31.6,20145.32,0.40,0.63,0.40,0.19,0.81,0.58,GÜÇLÜ
GIDA,75.4,39455.91,0.06,0.61,0.23,0.21,0.79,0.40,GÜÇLÜ
GIDA,71.2,52409.99,0.93,0.57,0.30,0.22,0.78,0.43,GÜÇLÜ
GIDA,59.9,66724.06,0.98,0.63,0.36,0.16,0.84,0.62,GÜÇLÜ
GIDA,73.3,20874.04,0.97,0.80,0.17,0.16,0.84,0.51,GÜÇLÜ
DİĞER,84,65932.6,0.35,0.53,0.30,0.23,0.77,0.59,GÜÇLÜ
MOBİLYA,29.5,3288.02,0.40,0.53,0.12,0.15,0.85,0.73,GÜÇLÜ
OTOMOTİVE,12.5,61709.27,0.92,0.72,0.39,0.13,0.87,0.63,GÜÇLÜ
BEYAZ EŞYA,7.3,62805.1,0.59,0.63,0.33,0.09,0.91,0.63,GÜÇLÜ
GİYİM,0.6,5744.14,0.55,0.84,0.33,0.26,0.74,0.50,GÜÇLÜ
MOBİLYA,2.5,38016.34,0.90,0.80,0.18,0.34,0.66,0.66,GÜÇLÜ
GİYİM,43.2,60109.43,0.90,0.80,0.35,0.26,0.74,0.72,GÜÇLÜ
GİYİM,59.3,5813.94,0.83,0.54,0.34,0.01,0.99,0.47,GÜÇLÜ
BEYAZ EŞYA,49.5,24060.86,0.91,0.57,0.40,0.25,0.75,0.75,GÜÇLÜ
BEYAZ EŞYA,31.6,38844.54,0.34,0.58,0.30,0.33,0.67,0.50,GÜÇLÜ
MOBİLYA,80.5,70766.75,0.67,0.80,0.32,0.19,0.81,0.49,GÜÇLÜ
OTOMOTİVE,72.5,41161.08,0.22,0.59,0.43,0.11,0.89,0.68,GÜÇLÜ
GİYİM,45.9,8163.5,0.51,0.54,0.36,0.19,0.81,0.64,GÜÇLÜ
BEYAZ EŞYA,35,12531.84,0.78,0.70,0.23,0.05,0.95,0.50,GÜÇLÜ
GİYİM,58.1,4778.08,0.05,0.86,0.20,0.13,0.87,0.58,GÜÇLÜ
BEYAZ EŞYA,55.5,61507.09,0.26,0.84,0.39,0.23,0.77,0.54,GÜÇLÜ
BEYAZ EŞYA,38.4,63236.51,0.74,0.56,0.27,0.23,0.77,0.56,GÜÇLÜ
OTOMOTİVE,37.3,42308.22,0.17,0.90,0.19,0.28,0.72,0.56,GÜÇLÜ
MOBİLYA,89.5,23257.29,0.11,0.76,0.35,0.13,0.87,0.56,GÜÇLÜ
MOBİLYA,76.4,35962.48,0.72,0.55,0.27,0.08,0.92,0.60,GÜÇLÜ
BEYAZ EŞYA,85.5,39719.56,0.38,0.81,0.40,0.06,0.94,0.51,GÜÇLÜ
BEYAZ EŞYA,80.8,34799.56,0.86,0.71,0.42,0.24,0.76,0.60,GÜÇLÜ
MOBİLYA,70.6,4893.88,0.61,0.63,0.25,0.01,0.99,0.48,GÜÇLÜ
GIDA,81.7,24619.65,0.34,0.74,0.39,0.04,0.96,0.47,GÜÇLÜ
OTOMOTİVE,66.6,25866.14,0.88,0.53,0.25,0.20,0.80,0.47,GÜÇLÜ
DİĞER,78.7,42177.01,0.39,0.78,0.27,0.26,0.74,0.69,GÜÇLÜ
GIDA,17.7,9359.05,0.03,0.88,0.27,0.24,0.76,0.58,GÜÇLÜ
GIDA,83,51524.35,0.37,0.60,0.30,0.23,0.77,0.49,GÜÇLÜ
OTOMOTİVE,96.5,306.16,0.50,0.55,0.03,0.28,0.72,0.47,GÜÇLÜ
OTOMOTİVE,91,42166.23,0.28,0.64,0.36,0.07,0.93,0.47,GÜÇLÜ
DİĞER,81.4,50734.16,0.09,0.53,0.30,0.16,0.84,0.69,GÜÇLÜ
GİYİM,4.2,1773,0.36,0.67,0.26,0.28,0.72,0.67,GÜÇLÜ
GIDA,80,10568.51,0.91,0.50,0.39,0.31,0.69,0.60,GÜÇLÜ
GİYİM,63.2,17596.43,0.15,0.47,0.23,0.04,0.96,0.48,GÜÇLÜ
OTOMOTİVE,52,6594.97,0.11,0.65,0.23,0.26,0.74,0.52,GÜÇLÜ
GİYİM,66.7,33241.96,0.81,0.62,0.45,0.07,0.93,0.50,GÜÇLÜ
OTOMOTİVE,88.2,10564.79,0.33,0.65,0.32,0.13,0.87,0.42,GÜÇLÜ
OTOMOTİVE,68.1,11847.74,0.08,0.53,0.12,0.11,0.89,0.53,GÜÇLÜ
OTOMOTİVE,65,9775.56,0.01,0.77,0.18,0.35,0.65,0.58,GÜÇLÜ
BEYAZ EŞYA,10.7,44202.94,0.89,0.75,0.15,0.21,0.79,0.74,GÜÇLÜ
GIDA,69.1,11544.48,0.85,0.64,0.36,0.08,0.92,0.55,GÜÇLÜ
OTOMOTİVE,9.6,7135.59,0.77,0.58,0.36,0.03,0.97,0.64,GÜÇLÜ
BEYAZ EŞYA,88.4,32833.92,0.83,0.68,0.18,0.13,0.87,0.42,GÜÇLÜ
GİYİM,49.3,14819.69,0.89,0.63,0.26,0.17,0.83,0.55,GÜÇLÜ
GIDA,83.6,26768.87,0.67,0.62,0.38,0.25,0.75,0.54,GÜÇLÜ
BEYAZ EŞYA,98,43618.16,0.36,0.65,0.29,0.11,0.89,0.49,GÜÇLÜ
GİYİM,46.6,25169.31,0.74,0.67,0.31,0.30,0.70,0.59,GÜÇLÜ
MOBİLYA,5.3,25076.59,1.00,0.58,0.37,0.26,0.74,0.63,GÜÇLÜ
DİĞER,45.3,50566.36,0.59,0.65,0.34,0.26,0.74,0.61,GÜÇLÜ
GIDA,11.3,51996.49,0.91,0.73,0.33,0.08,0.92,0.46,GÜÇLÜ
MOBİLYA,99.6,8563.94,0.33,0.63,0.23,0.17,0.83,0.67,GÜÇLÜ
GIDA,38.8,48078.17,0.78,0.52,0.40,0.27,0.73,0.59,GÜÇLÜ
MOBİLYA,29,50854.56,0.13,0.70,0.28,0.18,0.82,0.62,GÜÇLÜ
MOBİLYA,58.1,42415.52,0.03,0.56,0.17,0.11,0.89,0.51,GÜÇLÜ
OTOMOTİVE,79.8,2839.32,0.26,0.70,0.05,0.09,0.91,0.57,GÜÇLÜ
GİYİM,24.4,44215.65,0.92,0.53,0.33,0.14,0.86,0.51,GÜÇLÜ
GIDA,25.3,7643.21,0.10,0.78,0.27,0.11,0.89,0.43,GÜÇLÜ
GIDA,73.3,61926.22,0.11,0.72,0.35,0.28,0.72,0.53,GÜÇLÜ
OTOMOTİVE,36.7,23126.28,0.66,0.63,0.29,0.30,0.70,0.52,GÜÇLÜ
OTOMOTİVE,90.2,23148.45,0.87,0.61,0.29,0.21,0.79,0.50,GÜÇLÜ
MOBİLYA,80.8,58639.37,0.19,0.58,0.39,0.03,0.97,0.81,GÜÇLÜ
OTOMOTİVE,23.1,14920.37,0.14,0.60,0.32,0.07,0.93,0.77,GÜÇLÜ
DİĞER,78.1,51893.5,0.15,0.60,0.39,0.24,0.76,0.57,GÜÇLÜ
GIDA,96,35336.12,0.17,0.62,0.47,0.02,0.98,0.68,GÜÇLÜ
MOBİLYA,7.3,47095.86,0.47,0.49,0.23,0.19,0.81,0.54,GÜÇLÜ
GİYİM,77.2,45133.13,0.88,0.74,0.32,0.23,0.77,0.60,GÜÇLÜ
MOBİLYA,89.7,23692.13,0.84,0.77,0.16,0.34,0.66,0.45,GÜÇLÜ
GİYİM,18.6,72595.81,0.50,0.74,0.45,0.06,0.94,0.65,GÜÇLÜ
BEYAZ EŞYA,17.3,70442.5,0.48,0.53,0.13,0.05,0.95,0.71,GÜÇLÜ
BEYAZ EŞYA,35.5,26511.27,0.59,0.69,0.46,0.23,0.77,0.55,GÜÇLÜ
DİĞER,45.3,42871.24,0.31,0.67,0.12,0.35,0.65,0.61,GÜÇLÜ
DİĞER,68.7,43969.43,0.28,0.58,0.25,0.14,0.86,0.65,GÜÇLÜ
GİYİM,79.3,32589.44,0.87,0.66,0.38,0.34,0.66,0.54,GÜÇLÜ
MOBİLYA,97.3,55947.48,0.75,0.69,0.32,0.27,0.73,0.61,GÜÇLÜ
MOBİLYA,5.5,665.47,0.24,0.67,0.33,0.14,0.86,0.58,GÜÇLÜ
GIDA,7.3,60815.01,0.70,0.69,0.15,0.08,0.92,0.62,GÜÇLÜ
GİYİM,5.2,46331.89,0.36,0.59,0.25,0.18,0.82,0.73,GÜÇLÜ
GİYİM,54.8,39596.08,0.44,0.67,0.38,0.12,0.88,0.61,GÜÇLÜ
GİYİM,52,47585.55,0.40,0.60,0.35,0.28,0.72,0.70,GÜÇLÜ
MOBİLYA,49.5,47795.18,0.97,0.68,0.43,0.22,0.78,0.60,GÜÇLÜ
GIDA,94.3,54781.48,0.13,0.76,0.22,0.19,0.81,0.74,GÜÇLÜ
GIDA,94.1,21176.44,0.34,0.59,0.21,0.19,0.81,0.58,GÜÇLÜ
BEYAZ EŞYA,84.9,10697.1,0.31,0.76,0.29,0.37,0.63,0.49,GÜÇLÜ
GIDA,27.7,63054.28,0.53,0.40,0.29,0.17,0.83,0.45,GÜÇLÜ
BEYAZ EŞYA,35.2,19138.68,0.10,0.64,0.31,0.23,0.77,0.62,GÜÇLÜ
DİĞER,28.4,5507.25,0.74,0.70,0.30,0.14,0.86,0.49,GÜÇLÜ
OTOMOTİVE,6.4,44029.29,0.15,0.74,0.17,0.25,0.75,0.42,GÜÇLÜ
OTOMOTİVE,47.6,8216.71,0.81,0.66,0.29,0.06,0.94,0.52,GÜÇLÜ
OTOMOTİVE,62,52913.89,0.67,0.68,0.05,0.05,0.95,0.55,GÜÇLÜ
GIDA,41.2,32497.6,0.72,0.66,0.26,0.27,0.73,0.57,GÜÇLÜ
DİĞER,72.3,49440.04,0.56,0.60,0.29,0.25,0.75,0.42,GÜÇLÜ
MOBİLYA,43.5,32154.28,0.92,0.60,0.43,0.24,0.76,0.74,GÜÇLÜ
BEYAZ EŞYA,22.8,47062.45,0.06,0.50,0.38,0.26,0.74,0.57,GÜÇLÜ
GİYİM,0.4,4118.36,0.80,0.70,0.37,0.16,0.84,0.51,GÜÇLÜ
BEYAZ EŞYA,13.2,39222.94,0.53,0.62,0.39,0.22,0.78,0.58,GÜÇLÜ
OTOMOTİVE,29.1,1284.2,0.13,0.64,0.30,0.10,0.90,0.40,GÜÇLÜ
OTOMOTİVE,44.1,12060.94,0.66,0.74,0.28,0.24,0.76,0.36,GÜÇLÜ
GİYİM,42.3,29911.46,0.44,0.63,0.29,0.37,0.63,0.38,GÜÇLÜ
GIDA,94.6,7473.18,0.69,0.55,0.25,0.06,0.94,0.60,GÜÇLÜ
GİYİM,39.7,31190.15,0.98,0.73,0.48,0.04,0.96,0.36,GÜÇLÜ
OTOMOTİVE,19,3481.8,0.28,0.69,0.28,0.08,0.92,0.54,GÜÇLÜ
GİYİM,40.4,20751.76,0.18,0.69,0.39,0.37,0.63,0.70,GÜÇLÜ
GİYİM,96.4,10471.51,0.99,0.67,0.26,0.18,0.82,0.47,GÜÇLÜ
GİYİM,32.3,10678.07,0.72,0.52,0.29,0.30,0.70,0.55,GÜÇLÜ
GİYİM,95.9,45341.87,1.00,0.62,0.20,0.07,0.93,0.65,GÜÇLÜ
DİĞER,50.9,29004.89,0.94,0.74,0.30,0.27,0.73,0.65,GÜÇLÜ
DİĞER,62.3,4467.76,0.59,0.59,0.38,0.23,0.77,0.58,GÜÇLÜ
GIDA,20,4461.15,0.54,0.65,0.42,0.19,0.81,0.57,GÜÇLÜ
GİYİM,93.7,5264.53,0.77,0.53,0.39,0.13,0.87,0.63,GÜÇLÜ
BEYAZ EŞYA,66.6,53419.07,0.33,0.59,0.26,0.15,0.85,0.58,GÜÇLÜ
BEYAZ EŞYA,28.5,45134.94,0.96,0.72,0.06,0.10,0.90,0.55,GÜÇLÜ
OTOMOTİVE,37.5,59097.22,0.89,0.67,0.30,0.05,0.95,0.44,GÜÇLÜ
MOBİLYA,59.3,33339.98,0.36,0.62,0.41,0.10,0.90,0.52,GÜÇLÜ
GİYİM,31.5,47919.01,0.87,0.68,0.34,0.13,0.87,0.52,GÜÇLÜ
DİĞER,22.1,2512.85,0.85,0.71,0.29,0.17,0.83,0.41,GÜÇLÜ
OTOMOTİVE,82.2,43190.41,0.18,0.49,0.24,0.23,0.77,0.63,GÜÇLÜ
OTOMOTİVE,62.1,1939.48,0.15,0.65,0.48,0.23,0.77,0.75,GÜÇLÜ
GİYİM,68.2,7495.3,0.80,0.78,0.25,0.11,0.89,0.75,GÜÇLÜ
DİĞER,69.2,1967.85,0.80,0.59,0.28,0.27,0.73,0.51,GÜÇLÜ
OTOMOTİVE,48.9,25713.29,0.91,0.59,0.34,0.20,0.80,0.60,GÜÇLÜ
BEYAZ EŞYA,1.9,33265.96,0.52,0.65,0.28,0.27,0.73,0.68,GÜÇLÜ
GIDA,88.8,19884.16,0.20,0.89,0.19,0.06,0.94,0.56,GÜÇLÜ
DİĞER,8.3,8207.7,0.62,0.66,0.23,0.12,0.88,0.64,GÜÇLÜ
DİĞER,72.1,27383.02,0.46,0.72,0.45,0.18,0.82,0.49,GÜÇLÜ
OTOMOTİVE,93.8,3201.9,0.61,0.64,0.15,0.17,0.83,0.38,GÜÇLÜ
GİYİM,51.4,66204.8,0.32,0.54,0.20,0.22,0.78,0.51,GÜÇLÜ
BEYAZ EŞYA,98.1,6415.62,0.08,0.60,0.32,0.10,0.90,0.56,GÜÇLÜ
OTOMOTİVE,96.7,57559.85,0.25,0.50,0.44,0.16,0.84,0.52,GÜÇLÜ
DİĞER,94.7,35251.78,0.71,0.84,0.31,0.09,0.91,0.58,GÜÇLÜ
GIDA,27.6,39521.23,0.81,0.89,0.21,0.04,0.96,0.41,GÜÇLÜ
OTOMOTİVE,13.3,71593.88,0.23,0.63,0.27,0.22,0.78,0.49,GÜÇLÜ
OTOMOTİVE,50.7,65920.43,0.14,0.76,0.09,0.20,0.80,0.64,GÜÇLÜ
OTOMOTİVE,18.9,54484.8,0.48,0.72,0.28,0.07,0.93,0.38,GÜÇLÜ
GİYİM,47.3,28918.73,0.80,0.51,0.34,0.20,0.80,0.65,GÜÇLÜ
MOBİLYA,6,27984.03,0.41,0.79,0.33,0.12,0.88,0.42,GÜÇLÜ
GİYİM,10.4,17366.93,0.02,0.54,0.33,0.06,0.94,0.45,GÜÇLÜ
DİĞER,66.4,26408.71,0.18,0.58,0.34,0.15,0.85,0.65,GÜÇLÜ
OTOMOTİVE,35.7,25571.01,0.25,0.63,0.39,0.07,0.93,0.62,GÜÇLÜ
BEYAZ EŞYA,84.7,41698.53,0.70,0.58,0.18,0.15,0.85,0.71,GÜÇLÜ
MOBİLYA,26.4,44427.52,0.46,0.83,0.28,0.14,0.86,0.70,GÜÇLÜ
GİYİM,3.4,21262.68,0.29,0.70,0.33,0.19,0.81,0.47,GÜÇLÜ
DİĞER,76.5,63241.57,0.59,0.76,0.34,0.23,0.77,0.54,GÜÇLÜ
OTOMOTİVE,7.9,64371.55,0.04,0.49,0.20,0.38,0.62,0.49,GÜÇLÜ
OTOMOTİVE,36.5,55840.62,0.12,0.66,0.28,0.12,0.88,0.54,GÜÇLÜ
OTOMOTİVE,46.3,70196.2,0.93,0.62,0.30,0.17,0.83,0.56,GÜÇLÜ
BEYAZ EŞYA,23.1,26420.46,0.55,0.73,0.58,0.21,0.79,0.53,GÜÇLÜ
DİĞER,49.4,22787.94,0.94,0.57,0.28,0.04,0.96,0.68,GÜÇLÜ
BEYAZ EŞYA,89,30473.51,0.12,0.57,0.32,0.32,0.68,0.61,GÜÇLÜ
GIDA,81.2,17999.74,0.92,0.59,0.30,0.10,0.90,0.58,GÜÇLÜ
BEYAZ EŞYA,59.7,18670.5,0.93,0.61,0.27,0.03,0.97,0.49,GÜÇLÜ
OTOMOTİVE,26.9,7660.05,0.12,0.68,0.29,0.20,0.80,0.57,GÜÇLÜ
GIDA,100,33689.07,0.07,0.66,0.48,0.20,0.80,0.71,GÜÇLÜ
GİYİM,70.9,12376.74,0.99,0.49,0.26,0.05,0.95,0.55,GÜÇLÜ
GIDA,43.5,70086.26,0.26,0.66,0.45,0.16,0.84,0.63,GÜÇLÜ
BEYAZ EŞYA,52.5,1744.35,0.17,0.55,0.27,0.24,0.76,0.56,GÜÇLÜ
OTOMOTİVE,30.3,31199.42,0.30,0.74,0.28,0.06,0.94,0.41,GÜÇLÜ
GİYİM,79.3,55532.68,0.57,0.69,0.24,0.32,0.68,0.40,GÜÇLÜ
OTOMOTİVE,54.2,48750.33,0.69,0.53,0.48,0.13,0.87,0.54,GÜÇLÜ
BEYAZ EŞYA,49.6,22917.37,0.35,0.60,0.24,0.28,0.72,0.44,GÜÇLÜ
OTOMOTİVE,70.7,62505.16,0.71,0.72,0.28,0.18,0.82,0.58,GÜÇLÜ
OTOMOTİVE,37,36225.57,0.35,0.69,0.28,0.09,0.91,0.67,GÜÇLÜ
DİĞER,45.4,56902.94,0.97,0.47,0.23,0.38,0.62,0.76,GÜÇLÜ
BEYAZ EŞYA,57.9,27993.32,0.95,0.61,0.30,0.15,0.85,0.56,GÜÇLÜ
OTOMOTİVE,47.7,34202.8,0.76,0.75,0.19,0.32,0.68,0.81,GÜÇLÜ
GİYİM,49.5,71744.28,0.34,0.65,0.39,0.28,0.72,0.61,GÜÇLÜ
MOBİLYA,8.7,48162.89,0.97,0.68,0.31,0.40,0.60,0.61,GÜÇLÜ
OTOMOTİVE,6.7,29509.77,0.14,0.66,0.13,0.26,0.74,0.47,GÜÇLÜ
DİĞER,6.6,23236.88,0.92,0.69,0.40,0.27,0.73,0.43,GÜÇLÜ
GIDA,47.9,53399.16,0.18,0.64,0.20,0.21,0.79,0.59,GÜÇLÜ
OTOMOTİVE,47.7,36343.7,0.65,0.63,0.25,0.25,0.75,0.52,GÜÇLÜ
DİĞER,24.8,61951.39,0.59,0.53,0.32,0.25,0.75,0.39,GÜÇLÜ
OTOMOTİVE,37.8,42593.01,0.56,0.82,0.49,0.32,0.68,0.73,GÜÇLÜ
BEYAZ EŞYA,61.4,46046,0.33,0.56,0.36,0.18,0.82,0.56,GÜÇLÜ
MOBİLYA,37.7,11379.87,0.22,0.62,0.45,0.25,0.75,0.61,GÜÇLÜ
GIDA,49.7,50268.58,0.45,0.82,0.39,0.28,0.72,0.76,GÜÇLÜ
GIDA,16.4,37628.88,0.57,0.74,0.23,0.22,0.78,0.62,GÜÇLÜ
GİYİM,25,32425.68,0.50,0.61,0.22,0.10,0.90,0.37,GÜÇLÜ
DİĞER,25.9,12181.04,0.46,0.65,0.27,0.33,0.67,0.55,GÜÇLÜ
GIDA,58.5,34534.13,0.89,0.66,0.30,0.25,0.75,0.67,GÜÇLÜ
BEYAZ EŞYA,99.2,46414.01,0.25,0.58,0.44,0.07,0.93,0.54,GÜÇLÜ
DİĞER,40.2,17176.81,0.97,0.94,0.16,0.08,0.92,0.58,GÜÇLÜ
GİYİM,53.6,5470.12,0.64,0.67,0.12,0.17,0.83,0.62,GÜÇLÜ
OTOMOTİVE,48.1,23978.05,0.14,0.48,0.31,0.00,1.00,0.52,GÜÇLÜ
GİYİM,93.7,3017.45,0.97,0.63,0.29,0.03,0.97,0.63,GÜÇLÜ
BEYAZ EŞYA,59.4,18916.09,0.86,0.57,0.20,0.16,0.84,0.55,GÜÇLÜ
DİĞER,40.5,45655.19,0.20,0.74,0.37,0.08,0.92,0.78,GÜÇLÜ
MOBİLYA,8.2,3621.24,0.22,0.87,0.44,0.05,0.95,0.47,GÜÇLÜ
GIDA,31,18940.52,0.42,0.73,0.57,0.22,0.78,0.47,GÜÇLÜ
GIDA,31.6,11374.71,0.72,0.70,0.24,0.30,0.70,0.63,GÜÇLÜ
MOBİLYA,45.9,71456.65,0.70,0.59,0.43,0.33,0.67,0.61,GÜÇLÜ
GIDA,33.9,61642.8,0.35,0.71,0.39,0.28,0.72,0.48,GÜÇLÜ
DİĞER,53,64679.06,0.16,0.62,0.17,0.36,0.64,0.54,GÜÇLÜ
GİYİM,78.2,21097.75,0.97,0.69,0.28,0.23,0.77,0.67,GÜÇLÜ
DİĞER,5.2,67850.86,0.17,0.77,0.41,0.11,0.89,0.55,GÜÇLÜ
MOBİLYA,56.3,12270.54,0.17,0.64,0.33,0.10,0.90,0.46,GÜÇLÜ
OTOMOTİVE,10.6,67267.1,0.38,0.60,0.35,0.19,0.81,0.40,GÜÇLÜ
BEYAZ EŞYA,81.6,43904.48,0.64,0.34,0.41,0.22,0.78,0.43,GÜÇLÜ
DİĞER,78.7,55716.66,0.61,0.77,0.38,0.22,0.78,0.47,GÜÇLÜ
DİĞER,78.7,50707.62,0.09,0.63,0.32,0.00,1.00,0.43,GÜÇLÜ
OTOMOTİVE,31.9,56858.37,0.59,0.73,0.46,0.21,0.79,0.62,GÜÇLÜ
DİĞER,5.8,54072.54,0.64,0.62,0.29,0.15,0.85,0.53,GÜÇLÜ
